start,end,x,x_value,w,w_value,v,v_value,u,u_value,d,e,g,segment,diff
0.0,6.283185307179586,3.141592653589793,-6.662456964505841,3.141592653589793,-6.662456964505841,3.141592653589793,-6.662456964505841,3.141592653589793,-6.662456964505841,6.283185307179586,6.283185307179586,6.283185307179586,6.283185307179586,-
1.9416110387254666,6.283185307179586,3.141592653589793,-6.662456964505841,1.9416110387254666,-5.766049293184097,3.141592653589793,-6.662456964505841,1.9416110387254666,-5.766049293184097,3.141592653589793,3.141592653589793,6.283185307179586,4.34157426845412,0.6909830056250525
1.9416110387254666,4.34157426845412,3.141592653589793,-6.662456964505841,1.9416110387254666,-5.766049293184097,4.34157426845412,1.4893829761595085,4.34157426845412,1.4893829761595085,3.141592653589793,3.141592653589793,3.141592653589793,2.3999632297286535,0.5527864045000421
1.9416110387254666,3.141592653589793,2.6832404625866064,-7.272716000143915,3.141592653589793,-6.662456964505841,1.9416110387254666,-5.766049293184097,2.6832404625866064,-7.272716000143915,1.1999816148643265,1.1999816148643265,3.141592653589793,1.1999816148643265,0.4999999999999999
2.674877553826797,3.141592653589793,2.6832404625866064,-7.272716000143915,2.674877553826797,-7.271325554489988,3.141592653589793,-6.662456964505841,2.674877553826797,-7.271325554489988,0.0,0.0,1.1999816148643265,0.4667150997629963,0.3889352086579797
2.674877553826797,2.8583154207318398,2.6832404625866064,-7.272716000143915,2.674877553826797,-7.271325554489988,2.8583154207318398,-7.2023282417831584,2.8583154207318398,-7.2023282417831584,0.4583521910031867,0.4583521910031867,0.0,0.18343786690504293,0.3930403515939273
2.674877553826797,2.75011314601912,2.6832404625866064,-7.272716000143915,2.674877553826797,-7.271325554489988,2.75011314601912,-7.268503538204731,2.75011314601912,-7.268503538204731,0.17507495814523333,0.17507495814523333,0.4583521910031867,0.07523559219232334,0.41014210131035395
2.6832404625866064,2.75011314601912,2.7087835547389147,-7.274341701037245,2.6832404625866064,-7.272716000143915,2.674877553826797,-7.271325554489988,2.7087835547389147,-7.274341701037245,0.06687268343251374,0.06687268343251374,0.17507495814523333,0.06687268343251374,0.8888437172338371
2.6832404625866064,2.7087835547389147,2.7065265490219304,-7.274357962142872,2.7087835547389147,-7.274341701037245,2.6832404625866064,-7.272716000143915,2.7065265490219304,-7.274357962142872,0.0,0.0,0.06687268343251374,0.025543092152308322,0.38196601125010604
2.6832404625866064,2.7065265490219304,2.7064710751638152,-7.274357970011905,2.7065265490219304,-7.274357962142872,2.7087835547389147,-7.274341701037245,2.7064710751638152,-7.274357970011905,0.0,0.0,0.0,0.023286086435323927,0.9116392916125298
2.697597770738802,2.7065265490219304,2.7064710751638152,-7.274357970011905,2.7065265490219304,-7.274357962142872,2.7087835547389147,-7.274341701037245,2.697597770738802,-7.274117689827481,0.02323061257720882,0.02323061257720882,0.0,0.008928778283128214,0.3834383380791572
2.703081774465985,2.7065265490219304,2.7064710751638152,-7.274357970011905,2.7065265490219304,-7.274357962142872,2.7087835547389147,-7.274341701037245,2.703081774465985,-7.274322824484437,0.008873304425013107,0.008873304425013107,0.02323061257720882,0.0034447745559451626,0.38580581202854997
2.7051764774953377,2.7065265490219304,2.7064710751638152,-7.274357970011905,2.7065265490219304,-7.274357962142872,2.7051764774953377,-7.274352818583529,2.7051764774953377,-7.274352818583529,0.0033893006978300555,0.0033893006978300555,0.008873304425013107,0.001350071526592611,0.391918688630172
2.7059765828562132,2.7065265490219304,2.7064710751638152,-7.274357970011905,2.7065265490219304,-7.274357962142872,2.7059765828562132,-7.27435720992209,2.7059765828562132,-7.27435720992209,0.001294597668477504,0.001294597668477504,0.0033893006978300555,0.0005499661657171195,0.4073607619184119
2.7062821959094867,2.7065265490219304,2.7064710751638152,-7.274357970011905,2.7065265490219304,-7.274357962142872,2.7062821959094867,-7.274357855898861,2.7062821959094867,-7.274357855898861,0.0004944923076020125,0.0004944923076020125,0.001294597668477504,0.00024435311244364044,0.44430571856183215
2.7063989297084317,2.7065265490219304,2.7064710751638152,-7.274357970011905,2.7065265490219304,-7.274357962142872,2.7063989297084317,-7.274357952135856,2.7063989297084317,-7.274357952135856,0.00018887925432853336,0.00018887925432853336,0.0004944923076020125,0.0001276193134986947,0.522274147533643
2.7064435180519926,2.7065265490219304,2.7064710751638152,-7.274357970011905,2.7064435180519926,-7.274357966935181,2.7065265490219304,-7.274357962142872,2.7064435180519926,-7.274357966935181,7.214545538358763e-05,7.214545538358763e-05,0.00018887925432853336,8.30309699377807e-05,0.650614453733368
2.7064435180519926,2.706492264292128,2.7064710751638152,-7.274357970011905,2.706492264292128,-7.2743579692241696,2.7064435180519926,-7.274357966935181,2.706492264292128,-7.2743579692241696,5.547385811510708e-05,5.547385811510708e-05,7.214545538358763e-05,4.874624013551099e-05,0.5870850379327016
2.706460549283731,2.706492264292128,2.7064710751638152,-7.274357970011905,2.706460549283731,-7.274357969384017,2.706492264292128,-7.2743579692241696,2.706460549283731,-7.274357969384017,2.755711182267362e-05,2.755711182267362e-05,5.547385811510708e-05,3.1715008397270594e-05,0.6506144537323327
2.706460549283731,2.7064810751638153,2.7064710751638152,-7.274357970011905,2.7064810751638153,-7.274357969981755,2.706460549283731,-7.274357969384017,2.7064810751638153,-7.274357969981755,2.118912831283737e-05,2.118912831283737e-05,2.755711182267362e-05,2.0525880084498738e-05,0.6471976872080918
