start,start_value,end,end_value,pivot,pivot_value,u,u_value,segment,diff
-1.0,18.0,3,670,1.0,0.0,0.05232558139534882,0.9264572220237739,4.0,-
0.05232558139534882,0.9264572220237739,3,670,1.0,0.0,0.53045129047954,1.4178426474670007,2.947674418604651,0.7369186046511628
0.53045129047954,1.4178426474670007,3,670,1.0,0.0,0.7762560924307726,1.022247212891298,2.46954870952046,0.8377956174310042
0.7762560924307726,1.022247212891298,3,670,1.0,0.0,0.9030880491158839,0.48512906088473295,2.2237439075692276,0.9004657000675387
0.9030880491158839,0.48512906088473295,3,670,1.0,0.0,0.9669803431503855,0.1665116195387515,2.096911950884116,0.9429646749100027
0.9669803431503855,0.1665116195387515,3,670,1.0,0.0,0.998564916910113,0.007179469444395625,2.0330196568496146,0.9695302923865914
0.998564916910113,0.007179469444395625,3,670,1.0,0.0,1.0140070850987508,-0.06958175786233811,2.001435083089887,0.984464206406803
1.0,0.0,3,670,1.0140070850987508,-0.06958175786233811,1.0215132208646323,-0.10641689786802688,2.0,0.9992829729517525
1.0140070850987508,-0.06958175786233811,3,670,1.0215132208646323,-0.10641689786802688,1.0319420943879687,-0.1569308601656627,1.9859929149012492,0.9929964574506246
1.0215132208646323,-0.10641689786802688,3,670,1.0319420943879687,-0.1569308601656627,1.0406017466328394,-0.19818160391349648,1.9784867791353677,0.9962204619615903
1.0319420943879687,-0.1569308601656627,3,670,1.0406017466328394,-0.19818160391349648,1.0497880419265821,-0.24113676821702068,1.9680579056120313,0.9947288636783845
1.0406017466328394,-0.19818160391349648,3,670,1.0497880419265821,-0.24113676821702068,1.0583456082004878,-0.28030322325843127,1.9593982533671606,0.995599899667496
1.0497880419265821,-0.24113676821702068,3,670,1.0583456082004878,-0.28030322325843127,1.0668256660591733,-0.31820627177447225,1.9502119580734179,0.9953116752666507
1.0583456082004878,-0.28030322325843127,3,670,1.0668256660591733,-0.31820627177447225,1.074940696126341,-0.35353784148517553,1.9416543917995122,0.9956119814369513
1.0668256660591733,-0.31820627177447225,3,670,1.074940696126341,-0.35353784148517553,1.082819151352436,-0.3868730187679872,1.9331743339408267,0.9956325606171209
1.074940696126341,-0.35353784148517553,3,670,1.082819151352436,-0.3868730187679872,1.0903876574693612,-0.4179204262190743,1.925059303873659,0.9958022254254613
1.082819151352436,-0.3868730187679872,3,670,1.0903876574693612,-0.4179204262190743,1.097674808697958,-0.44683668452089087,1.917180848647564,0.9959074220673402
1.0903876574693612,-0.4179204262190743,3,670,1.097674808697958,-0.44683668452089087,1.104661826031699,-0.4735958346259941,1.9096123425306388,0.9960522732520177
1.097674808697958,-0.44683668452089087,3,670,1.104661826031699,-0.4735958346259941,1.1113557253059287,-0.4982857281109059,1.902325191302042,0.996183963066064
1.104661826031699,-0.4735958346259941,3,670,1.1113557253059287,-0.4982857281109059,1.1177532956253822,-0.5209636523529944,1.895338173968301,0.9963271172743295
1.1113557253059287,-0.4982857281109059,3,670,1.1177532956253822,-0.5209636523529944,1.123858568810171,-0.5417206051783627,1.8886442746940713,0.9964682295929203
1.1177532956253822,-0.5209636523529944,3,670,1.123858568810171,-0.5417206051783627,1.1296740832606962,-0.5606470779341963,1.8822467043746178,0.9966126123351156
1.123858568810171,-0.5417206051783627,3,670,1.1296740832606962,-0.5606470779341963,1.1352049547534524,-0.5778453331613655,1.876141431189829,0.9967563905567749
1.1296740832606962,-0.5606470779341963,3,670,1.1352049547534524,-0.5778453331613655,1.1404566828662916,-0.5934200942263206,1.8703259167393038,0.9969002792892661
1.1352049547534524,-0.5778453331613655,3,670,1.1404566828662916,-0.5934200942263206,1.1454360144072198,-0.6074796383352372,1.8647950452465476,0.9970428301061033
1.1404566828662916,-0.5934200942263206,3,670,1.1454360144072198,-0.6074796383352372,1.1501503181070543,-0.6201323852556349,1.8595433171337084,0.9971837505005035
1.1454360144072198,-0.6074796383352372,3,670,1.1501503181070543,-0.6201323852556349,1.154607690812725,-0.6314859600677942,1.8545639855927802,0.9973222825760234
1.1501503181070543,-0.6201323852556349,3,670,1.154607690812725,-0.6314859600677942,1.1588167160791254,-0.6416454945968026,1.8498496818929457,0.9974579988954505
1.154607690812725,-0.6314859600677942,3,670,1.1588167160791254,-0.6416454945968026,1.1627864027523778,-0.6507126626017694,1.845392309187275,0.997590413562085
1.1588167160791254,-0.6416454945968026,3,670,1.1627864027523778,-0.6507126626017694,1.1665260484682018,-0.6587847392725776,1.8411832839208746,0.9977191704737004
1.1627864027523778,-0.6507126626017694,3,670,1.1665260484682018,-0.6587847392725776,1.1700451531793754,-0.6659539860134922,1.8372135972476222,0.9978439481240571
1.1665260484682018,-0.6587847392725776,3,670,1.1700451531793754,-0.6659539860134922,1.17335332256149,-0.672307189319028,1.8334739515317982,0.997964501394162
1.1700451531793754,-0.6659539860134922,3,670,1.17335332256149,-0.672307189319028,1.176460190740335,-0.6779253964461325,1.8299548468206246,0.9980806355562164
1.17335332256149,-0.672307189319028,3,670,1.176460190740335,-0.6779253964461325,1.1793753479538047,-0.6828837909945911,1.82664667743851,0.9981922125631338
1.176460190740335,-0.6779253964461325,3,670,1.1793753479538047,-0.6828837909945911,1.1821082797517748,-0.687251697562576,1.823539809259665,0.9982991411435945
1.1793753479538047,-0.6828837909945911,3,670,1.1821082797517748,-0.687251697562576,1.1846683139437404,-0.6910926852520158,1.8206246520461953,0.998401374514191
1.1821082797517748,-0.687251697562576,3,670,1.1846683139437404,-0.6910926852520158,1.1870645763792287,-0.6944647512601927,1.8178917202482252,0.9984989043211633
