start,start_value,end,end_value,segment,diff,median
-1.0,1.2500012499083724e-05,3.0,-1.2499987500191878e-05,4.0,-,1.0
0.9999975,44.999347503431274,3.0,45.00021750038125,2.0000025,0.500000625,1.99999875
0.9999975,2.2186701178979553,2.00000125,2.2187979299432654,1.0000037499999999,0.5000012499984374,1.499999375
0.9999975,-0.6943402549121451,1.500001875,-0.6943325792157573,0.500004375,0.5000024999906251,1.2499996875
0.9999975,-0.545492947033769,1.2500021874999998,-0.545509439972931,0.2500046874999998,0.50000499995625,1.12499984375
1.12499734375,-0.6950503761708657,1.2500021874999998,-0.6950571016032794,0.12500484374999976,0.5000099998125029,1.187499765625
1.187497265625,-0.7171714954425408,1.2500021874999998,-0.7171716469059692,0.06250492187499979,0.5000199992250293,1.2187497265624998
1.2187472265625,-0.7118691538408308,1.2500021874999998,-0.7118655544537456,0.03125496093749991,0.5000399968502484,1.2343747070312499
1.2187472265625,-0.7159853795028197,1.2343772070312498,-0.7159836954562855,0.01562998046874986,0.5000799873020128,1.2265622167968748
1.2187472265625,-0.7169369239362826,1.2265647167968747,-0.7169361675282904,0.007817490234374835,0.500159949016245,1.2226559716796874
1.2187472265625,-0.7171428672821456,1.2226584716796873,-0.7171425672688798,0.003911245117187434,0.5003197957304792,1.2207028491210936
1.2187472265625,-0.7171792257645668,1.2207053491210935,-0.717179152102914,0.0019581225585936224,0.5006391826451683,1.2197262878417967
1.2187472265625,-0.717180856736253,1.2197287878417966,-0.7171808957902752,0.0009815612792967165,0.5012767331589811,1.2192380072021483
1.2192355072021483,-0.7171814171531476,1.2197287878417966,-0.7171813998876484,0.0004932806396482636,0.5025469627344068,1.2194821475219726
1.2192355072021483,-0.7171814806866044,1.2194846475219725,-0.7171814915904369,0.0002491403198241482,0.5050681089000351,1.2193600773620603
1.2193575773620604,-0.7171815348845674,1.2194846475219725,-0.7171815317061321,0.00012707015991209047,0.5100345058631255,1.2194211124420165
1.2193575773620604,-0.717181529273109,1.2194236124420164,-0.7171815331363973,6.603507995595059e-05,0.519674170565575,1.2193905949020385
1.2193880949020386,-0.7171815374511805,1.2194236124420164,-0.717181537793758,3.551753997776963e-05,0.5378586654466382,1.2194058536720274
1.2194033536720275,-0.7171815375110198,1.2194236124420164,-0.7171815360931211,2.0258769988901193e-05,0.570387757755214,1.2194134830570218
1.2194033536720275,-0.7171815378168742,1.2194159830570217,-0.7171815372792243,1.262938499424493e-05,0.6234033458676891,1.2194096683645246
