start,end,segment,diff,x1,x1_value,x2,x2_value
-1.9,1.0,2.9,-,-0.7922985673746952,-2.089813810429132,-0.10770143262530474,-0.03702828116569661
-1.9,-0.10770143262530474,1.7922985673746952,0.6180339887498949,-1.2154028652506093,-3.6581445734032196,-0.7922985673746952,-2.089813810429132
-1.9,-0.7922985673746952,1.1077014326253047,0.6180339887498947,-1.4768957021240856,-3.471084974557818,-1.2154028652506093,-3.6581445734032196
-1.4768957021240856,-0.7922985673746952,0.6845971347493904,0.6180339887498952,-1.2154028652506093,-3.6581445734032196,-1.0537914042481715,-3.20553444915406
-1.4768957021240856,-1.0537914042481715,0.4231042978759141,0.6180339887498935,-1.3152842411216479,-3.755118758150255,-1.2154028652506093,-3.6581445734032196
-1.4768957021240856,-1.2154028652506093,0.26149283687347635,0.6180339887498985,-1.377014326253047,-3.719698001112004,-1.3152842411216479,-3.755118758150255
-1.377014326253047,-1.2154028652506093,0.16161146100243773,0.6180339887498855,-1.3152842411216479,-3.755118758150255,-1.2771329503820084,-3.7386191772123025
-1.377014326253047,-1.2771329503820084,0.09988137587103862,0.6180339887499193,-1.3388630355134075,-3.75113055360631,-1.3152842411216479,-3.755118758150255
-1.3388630355134075,-1.2771329503820084,0.061730085131399104,0.6180339887498307,-1.3152842411216479,-3.755118758150255,-1.300711744773768,-3.7520542696841606
-1.3388630355134075,-1.300711744773768,0.03815129073963952,0.6180339887500627,-1.3242905391655275,-3.7549271827144786,-1.3152842411216479,-3.755118758150255
-1.3242905391655275,-1.300711744773768,0.023578794391759583,0.6180339887494557,-1.3152842411216479,-3.755118758150255,-1.3097180428176476,-3.75443434585726
-1.3242905391655275,-1.3097180428176476,0.014572496347879937,0.6180339887510446,-1.3187243408615272,-3.755236573232965,-1.3152842411216479,-3.755118758150255
-1.3242905391655275,-1.3152842411216479,0.009006298043879646,0.6180339887468845,-1.3208504394256482,-3.7551916968252854,-1.3187243408615272,-3.755236573232965
-1.3208504394256482,-1.3152842411216479,0.005566198304000292,0.6180339887577758,-1.3187243408615272,-3.755236573232965,-1.3174103396857688,-3.7552192726293896
-1.3208504394256482,-1.3174103396857688,0.0034400997398793542,0.6180339887292622,-1.3195364382498898,-3.7552300828734033,-1.3187243408615272,-3.755236573232965
-1.3195364382498898,-1.3174103396857688,0.0021260985641209373,0.618033988803912,-1.3187243408615272,-3.755236573232965,-1.3182224370741313,-3.755234016702504
-1.3195364382498898,-1.3182224370741313,0.001314001175758417,0.6180339886084761,-1.3190345344624939,-3.755235645663018,-1.3187243408615272,-3.755236573232965
-1.3190345344624939,-1.3182224370741313,0.0008120973883625204,0.6180339891201337,-1.3187243408615272,-3.755236573232965,-1.318532630675098,-3.7552361884323933
-1.3190345344624939,-1.318532630675098,0.0005019037873958965,0.6180339877805967,-1.3188428242760646,-3.755236445162738,-1.3187243408615272,-3.755236573232965
-1.3188428242760646,-1.318532630675098,0.00031019360096662396,0.6180339912875502,-1.3187243408615272,-3.755236573232965,-1.3186511140896353,-3.7552365126129352
-1.3188428242760646,-1.3186511140896353,0.0001917101864292725,0.6180339821062267,-1.3187695975041727,-3.7552365573134887,-1.3187243408615272,-3.755236573232965
-1.3187695975041727,-1.3186511140896353,0.00011848341453735145,0.618034006143244,-1.3187243408615272,-3.755236573232965,-1.3186963707322807,-3.7552365626798077
-1.3187695975041727,-1.3186963707322807,7.322677189192106e-05,0.618033943213517,-1.3187416273749262,-3.7552365719663348,-1.3187243408615272,-3.755236573232965
-1.3187416273749262,-1.3186963707322807,4.525664264543039e-05,0.6180341079656886,-1.3187243408615272,-3.755236573232965,-1.3187136572456797,-3.7552365710406743
-1.3187416273749262,-1.3187136572456797,2.797012924649067e-05,0.6180336766389551,-1.3187309437590786,-3.755236573451495,-1.3187243408615272,-3.755236573232965
-1.3187416273749262,-1.3187243408615272,1.7286513398939718e-05,0.6180348058673559,-1.3187350244773748,-3.7552365731524935,-1.3187309437590786,-3.755236573451495
-1.3187350244773748,-1.3187243408615272,1.0683615847550954e-05,0.6180318495114372,-1.3187309437590786,-3.755236573451495,-1.3187284215798234,-3.7552365734704924
