start,start_value,end,end_value,segment,diff,median
-1.9,-0.7077454650204373,1.0,-0.7077295350204373,2.9,-,-0.44999999999999996
-1.9,-3.574095913583566,-0.44999749999999994,-3.5740841341270975,1.4500025,0.5000008620689655,-1.1749987499999999
-1.9,-3.1846214089097113,-1.17499625,-3.1846497466539256,0.72500375,0.5000017241349584,-1.537498125
-1.5375006249999998,-3.7407639106965656,-1.17499625,-3.7407678288167148,0.3625043749999999,0.5000034482580261,-1.3562484375
-1.3562509374999998,-3.7284250318090217,-1.17499625,-3.7284201001996555,0.18125468749999984,0.5000068964684906,-1.26562359375
-1.3562509374999998,-3.7546363044306563,-1.26562109375,-3.754635536286405,0.09062984374999972,0.5000137927467382,-1.3109360156249998
-1.3562509374999998,-3.7530082637129345,-1.310933515625,-3.7530097719554316,0.045317421874999875,0.5000275847325404,-1.3335922265624998
-1.3335947265624997,-3.755111616850604,-1.310933515625,-3.755111970387807,0.02266121093749973,0.5000551664215738,-1.3222641210937498
-1.3222666210937497,-3.75519162378035,-1.310933515625,-3.7551914123706513,0.011333105468749771,0.5001103206711592,-1.3166000683593748
-1.3222666210937497,-3.755231617927489,-1.316597568359375,-3.755231687961971,0.005669052734374791,0.5002205926704555,-1.3194320947265623
-1.3194345947265622,-3.7552315474079254,-1.316597568359375,-3.75523147646334,0.002837026367187301,0.5004409907822424,-1.3180160815429685
-1.3194345947265622,-3.7552365734047948,-1.3180135815429685,-3.7552365728854573,0.0014210131835936668,0.5008812043585252,-1.3187240881347653
-1.3194345947265622,-3.755235344488396,-1.3187215881347654,-3.755235379229891,0.0007130065917968498,0.5017593080971241,-1.3190780914306637
-1.3190805914306636,-3.755236271009882,-1.3187215881347654,-3.755236288116942,0.0003590032958982192,0.5035062789440615,-1.3189010897827145
-1.3189035897827144,-3.7552365002053785,-1.3187215881347654,-3.7552365084982346,0.00018200164794901497,0.5069637243681856,-1.3188125889587399
-1.3188150889587398,-3.755236556302374,-1.3187215881347654,-3.755236560188881,9.350082397441284e-05,0.5137361393596046,-1.3187683385467526
-1.3187708385467525,-3.7552365697276286,-1.3187215881347654,-3.7552365714111495,4.9250411987111775e-05,0.5267377322855411,-1.3187462133407588
-1.3187487133407587,-3.755236572784688,-1.3187215881347654,-3.755236573366764,2.712520599335022e-05,0.5507609966886887,-1.318735150737762
-1.318737650737762,-3.7552365733993556,-1.3187215881347654,-3.7552365734307207,1.6062602996580466e-05,0.5921651986907762,-1.3187296194362637
-1.3187321194362636,-3.7552365734782285,-1.3187215881347654,-3.7552365732342414,1.0531301498195589e-05,0.6556410253330407,-1.3187268537855146
