start,end,segment,diff,x1,x1_value,x2,x2_value
-1.9,1.0,2.9,-,-0.7922985673875351,-2.089813810487443,-0.10770143261246479,-0.03702828115663402
-1.9,-0.10770143261246479,1.7922985673875351,0.6180339887543225,-1.2154028652249298,-3.6581445733571907,-0.7922985673875351,-2.089813810487443
-1.9,-0.7922985673875351,1.1077014326124648,0.6180339887383032,-1.4768957021626055,-3.471084974410565,-1.2154028652249298,-3.6581445733571907
-1.4768957021626055,-0.7922985673875351,0.6845971347750703,0.6180339887802423,-1.2154028652249298,-3.6581445733571907,-1.0537914043252108,-3.2055344494332445
-1.4768957021626055,-1.0537914043252108,0.42310429783739467,0.6180339886704447,-1.3152842412628865,-3.7551187581599006,-1.2154028652249298,-3.6581445733571907
-1.4768957021626055,-1.2154028652249298,0.26149283693767567,0.6180339889578982,-1.3770143261246488,-3.7196980012724143,-1.3152842412628865,-3.7551187581599006
-1.3770143261246488,-1.2154028652249298,0.161611460899719,0.618033988205335,-1.3152842412628865,-3.7551187581599006,-1.2771329500866921,-3.7386191769806336
-1.3770143261246488,-1.2771329500866921,0.09988137603795666,0.6180339901755713,-1.3388630349484545,-3.751130553838717,-1.3152842412628865,-3.7551187581599006
-1.3388630349484545,-1.2771329500866921,0.06173008486176235,0.6180339850174255,-1.3152842412628865,-3.7551187581599006,-1.3007117437722602,-3.75205426933314
-1.3388630349484545,-1.3007117437722602,0.03815129117619431,0.6180339985216265,-1.3242905374578282,-3.754927182904942,-1.3152842412628865,-3.7551187581599006
-1.3242905374578282,-1.3007117437722602,0.023578793685568034,0.6180339631671695,-1.3152842412628865,-3.7551187581599006,-1.309718039967202,-3.754434345351709
-1.3242905374578282,-1.309718039967202,0.01457249749062628,0.6180340557263422,-1.3187243361621437,-3.7552365732325006,-1.3152842412628865,-3.7551187581599006
-1.3242905374578282,-1.3152842412628865,0.009006296194941754,0.6180338134032982,-1.320850442558571,-3.7551916966925987,-1.3187243361621437,-3.7552365732325006
-1.320850442558571,-1.3152842412628865,0.005566201295684525,0.6180344478133748,-1.3187243361621437,-3.7552365732325006,-1.3174103476593138,-3.7552192728384473
-1.320850442558571,-1.3174103476593138,0.003440094899257229,0.6180327869069941,-1.319536454055741,-3.7552300826191063,-1.3187243361621437,-3.7552365732325006
-1.319536454055741,-1.3174103476593138,0.0021261063964272964,0.6180371352215768,-1.3187243361621437,-3.7552365732325006,-1.3182224655529111,-3.755234016989742
-1.319536454055741,-1.3182224655529111,0.0013139885028299325,0.6180257512220251,-1.3190345834465085,-3.7552356453651594,-1.3187243361621437,-3.7552365732325006
-1.3190345834465085,-1.3182224655529111,0.0008121178935973639,0.6180555551652913,-1.3187243361621437,-3.7552365732325006,-1.318532712837276,-3.7552361887540107
-1.3190345834465085,-1.318532712837276,0.0005018706092325687,0.6179775291115415,-1.3188429601216407,-3.755236444855437,-1.3187243361621437,-3.7552365732325006
-1.3188429601216407,-1.318532712837276,0.0003102472843647952,0.618181815506605,-1.3187243361621437,-3.7552365732325006,-1.318651336796773,-3.7552365129591516
-1.3188429601216407,-1.318651336796773,0.00019162332486777345,0.6176470658239792,-1.31876996075627,-3.7552365570207114,-1.3187243361621437,-3.7552365732325006
-1.31876996075627,-1.318651336796773,0.00011862395949702176,0.619047600697234,-1.3187243361621437,-3.7552365732325006,-1.3186969613908992,-3.755236563063665
-1.31876996075627,-1.3186969613908992,7.299936537075169e-05,0.6153846632693495,-1.3187425859850255,-3.7552365717219587,-1.3187243361621437,-3.7552365732325006
-1.3187425859850255,-1.3186969613908992,4.562459412627007e-05,0.6249998735543838,-1.3187243361621437,-3.7552365732325006,-1.318715211213781,-3.755236571500798
-1.3187425859850255,-1.318715211213781,2.737477124448162e-05,0.600000323700843,-1.3187334610366628,-3.7552365733062336,-1.3187243361621437,-3.7552365732325006
-1.3187425859850255,-1.3187243361621437,1.8249822881788447e-05,0.6666657674981434,-1.3187334611105064,-3.7552365733062274,-1.3187334610366628,-3.7552365733062336
